modelscenarioensemble,model,scenario,ensemble,beg,end
CAMS-CSM1-0_ssp119_r1i1p1f1,CAMS-CSM1-0,ssp119,r1i1p1f1,1997,2037
CNRM-ESM2-1_ssp119_r1i1p1f2,CNRM-ESM2-1,ssp119,r1i1p1f2,1991,2031
CanESM5_ssp119_r1i1p1f1,CanESM5,ssp119,r1i1p1f1,1973,2013
EC-Earth3-Veg-LR_ssp119_r1i1p1f1,EC-Earth3-Veg-LR,ssp119,r1i1p1f1,1981,2021
EC-Earth3-Veg_ssp119_r1i1p1f1,EC-Earth3-Veg,ssp119,r1i1p1f1,1965,2005
EC-Earth3_ssp119_r4i1p1f1,EC-Earth3,ssp119,r4i1p1f1,1966,2006
FGOALS-g3_ssp119_r1i1p1f1,FGOALS-g3,ssp119,r1i1p1f1,1982,2022
GFDL-ESM4_ssp119_r1i1p1f1,GFDL-ESM4,ssp119,r1i1p1f1,1994,2034
GISS-E2-1-G_ssp119_r1i1p3f1,GISS-E2-1-G,ssp119,r1i1p3f1,1990,2030
IPSL-CM6A-LR_ssp119_r1i1p1f1,IPSL-CM6A-LR,ssp119,r1i1p1f1,1975,2015
MIROC6_ssp119_r1i1p1f1,MIROC6,ssp119,r1i1p1f1,1997,2037
MIROC-ES2L_ssp119_r1i1p1f2,MIROC-ES2L,ssp119,r1i1p1f2,1994,2034
MRI-ESM2-0_ssp119_r1i1p1f1,MRI-ESM2-0,ssp119,r1i1p1f1,1989,2029
UKESM1-0-LL_ssp119_r1i1p1f2,UKESM1-0-LL,ssp119,r1i1p1f2,1988,2028
ACCESS-CM2_ssp126_r1i1p1f1,ACCESS-CM2,ssp126,r1i1p1f1,1990,2030
ACCESS-ESM1-5_ssp126_r1i1p1f1,ACCESS-ESM1-5,ssp126,r1i1p1f1,1988,2028
AWI-CM-1-1-MR_ssp126_r1i1p1f1,AWI-CM-1-1-MR,ssp126,r1i1p1f1,1977,2017
BCC-CSM2-MR_ssp126_r1i1p1f1,BCC-CSM2-MR,ssp126,r1i1p1f1,1992,2032
CAMS-CSM1-0_ssp126_r1i1p1f1,CAMS-CSM1-0,ssp126,r1i1p1f1,1997,2037
CESM2-WACCM_ssp126_r1i1p1f1,CESM2-WACCM,ssp126,r1i1p1f1,1981,2021
CESM2_ssp126_r1i1p1f1,CESM2,ssp126,r1i1p1f1,1984,2024
CIESM_ssp126_r1i1p1f1,CIESM,ssp126,r1i1p1f1,1966,2006
CMCC-CM2-SR5_ssp126_r1i1p1f1,CMCC-CM2-SR5,ssp126,r1i1p1f1,1974,2014
CNRM-CM6-1-HR_ssp126_r1i1p1f2,CNRM-CM6-1-HR,ssp126,r1i1p1f2,1974,2014
CNRM-CM6-1_ssp126_r1i1p1f2,CNRM-CM6-1,ssp126,r1i1p1f2,1984,2024
CNRM-ESM2-1_ssp126_r1i1p1f2,CNRM-ESM2-1,ssp126,r1i1p1f2,1991,2031
CanESM5-CanOE_ssp126_r1i1p2f1,CanESM5-CanOE,ssp126,r1i1p2f1,1970,2010
CanESM5_ssp126_r1i1p1f1,CanESM5,ssp126,r1i1p1f1,1973,2013
EC-Earth3-Veg-LR_ssp126_r1i1p1f1,EC-Earth3-Veg-LR,ssp126,r1i1p1f1,1981,2021
EC-Earth3-Veg_ssp126_r1i1p1f1,EC-Earth3-Veg,ssp126,r1i1p1f1,1965,2005
EC-Earth3_ssp126_r1i1p1f1,EC-Earth3,ssp126,r1i1p1f1,1985,2025
FGOALS-f3-L_ssp126_r1i1p1f1,FGOALS-f3-L,ssp126,r1i1p1f1,1974,2014
FGOALS-g3_ssp126_r1i1p1f1,FGOALS-g3,ssp126,r1i1p1f1,1982,2022
FIO-ESM-2-0_ssp126_r1i1p1f1,FIO-ESM-2-0,ssp126,r1i1p1f1,1970,2010
GFDL-ESM4_ssp126_r1i1p1f1,GFDL-ESM4,ssp126,r1i1p1f1,1994,2034
GISS-E2-1-G_ssp126_r1i1p3f1,GISS-E2-1-G,ssp126,r1i1p3f1,1989,2029
HadGEM3-GC31-LL_ssp126_r1i1p1f3,HadGEM3-GC31-LL,ssp126,r1i1p1f3,1987,2027
HadGEM3-GC31-MM_ssp126_r1i1p1f3,HadGEM3-GC31-MM,ssp126,r1i1p1f3,1991,2031
IITM-ESM_ssp126_r1i1p1f1,IITM-ESM,ssp126,r1i1p1f1,1980,2020
INM-CM4-8_ssp126_r1i1p1f1,INM-CM4-8,ssp126,r1i1p1f1,1986,2026
INM-CM5-0_ssp126_r1i1p1f1,INM-CM5-0,ssp126,r1i1p1f1,1988,2028
IPSL-CM6A-LR_ssp126_r1i1p1f1,IPSL-CM6A-LR,ssp126,r1i1p1f1,1975,2015
KACE-1-0-G_ssp126_r1i1p1f1,KACE-1-0-G,ssp126,r1i1p1f1,1974,2014
KIOST-ESM_ssp126_r1i1p1f1,KIOST-ESM,ssp126,r1i1p1f1,1973,2013
MCM-UA-1-0_ssp126_r1i1p1f2,MCM-UA-1-0,ssp126,r1i1p1f2,1976,2016
MIROC6_ssp126_r1i1p1f1,MIROC6,ssp126,r1i1p1f1,1997,2037
MIROC-ES2L_ssp126_r1i1p1f2,MIROC-ES2L,ssp126,r1i1p1f2,1994,2034
MPI-ESM1-2-HR_ssp126_r1i1p1f1,MPI-ESM1-2-HR,ssp126,r1i1p1f1,1984,2024
MPI-ESM1-2-LR_ssp126_r1i1p1f1,MPI-ESM1-2-LR,ssp126,r1i1p1f1,1983,2023
MRI-ESM2-0_ssp126_r1i1p1f1,MRI-ESM2-0,ssp126,r1i1p1f1,1989,2029
NESM3_ssp126_r1i1p1f1,NESM3,ssp126,r1i1p1f1,1985,2025
NorESM2-LM_ssp126_r1i1p1f1,NorESM2-LM,ssp126,r1i1p1f1,1998,2038
NorESM2-MM_ssp126_r1i1p1f1,NorESM2-MM,ssp126,r1i1p1f1,2000,2040
TaiESM1_ssp126_r1i1p1f1,TaiESM1,ssp126,r1i1p1f1,1993,2033
UKESM1-0-LL_ssp126_r1i1p1f2,UKESM1-0-LL,ssp126,r1i1p1f2,1988,2028
ACCESS-CM2_ssp370_r1i1p1f1,ACCESS-CM2,ssp370,r1i1p1f1,1990,2030
ACCESS-ESM1-5_ssp370_r1i1p1f1,ACCESS-ESM1-5,ssp370,r1i1p1f1,1989,2029
AWI-CM-1-1-MR_ssp370_r1i1p1f1,AWI-CM-1-1-MR,ssp370,r1i1p1f1,1976,2016
BCC-CSM2-MR_ssp370_r1i1p1f1,BCC-CSM2-MR,ssp370,r1i1p1f1,1992,2032
CAMS-CSM1-0_ssp370_r1i1p1f1,CAMS-CSM1-0,ssp370,r1i1p1f1,1995,2035
CESM2-WACCM_ssp370_r1i1p1f1,CESM2-WACCM,ssp370,r1i1p1f1,1983,2023
CESM2_ssp370_r1i1p1f1,CESM2,ssp370,r1i1p1f1,1985,2025
CMCC-CM2-SR5_ssp370_r1i1p1f1,CMCC-CM2-SR5,ssp370,r1i1p1f1,1974,2014
CNRM-CM6-1-HR_ssp370_r1i1p1f2,CNRM-CM6-1-HR,ssp370,r1i1p1f2,1974,2014
CNRM-CM6-1_ssp370_r1i1p1f2,CNRM-CM6-1,ssp370,r1i1p1f2,1985,2025
CNRM-ESM2-1_ssp370_r1i1p1f2,CNRM-ESM2-1,ssp370,r1i1p1f2,1992,2032
CanESM5-CanOE_ssp370_r1i1p2f1,CanESM5-CanOE,ssp370,r1i1p2f1,1970,2010
CanESM5_ssp370_r1i1p1f1,CanESM5,ssp370,r1i1p1f1,1973,2013
EC-Earth3-AerChem_ssp370_r1i1p1f1,EC-Earth3-AerChem,ssp370,r1i1p1f1,1993,2033
EC-Earth3-Veg-LR_ssp370_r1i1p1f1,EC-Earth3-Veg-LR,ssp370,r1i1p1f1,1981,2021
EC-Earth3-Veg_ssp370_r1i1p1f1,EC-Earth3-Veg,ssp370,r1i1p1f1,1965,2005
EC-Earth3_ssp370_r1i1p1f1,EC-Earth3,ssp370,r1i1p1f1,1985,2025
FGOALS-f3-L_ssp370_r1i1p1f1,FGOALS-f3-L,ssp370,r1i1p1f1,1974,2014
FGOALS-g3_ssp370_r1i1p1f1,FGOALS-g3,ssp370,r1i1p1f1,1982,2022
GFDL-ESM4_ssp370_r1i1p1f1,GFDL-ESM4,ssp370,r1i1p1f1,1995,2035
GISS-E2-1-G_ssp370_r1i1p3f1,GISS-E2-1-G,ssp370,r1i1p3f1,1989,2029
INM-CM4-8_ssp370_r1i1p1f1,INM-CM4-8,ssp370,r1i1p1f1,1987,2027
INM-CM5-0_ssp370_r1i1p1f1,INM-CM5-0,ssp370,r1i1p1f1,1988,2028
IPSL-CM6A-LR_ssp370_r1i1p1f1,IPSL-CM6A-LR,ssp370,r1i1p1f1,1975,2015
KACE-1-0-G_ssp370_r1i1p1f1,KACE-1-0-G,ssp370,r1i1p1f1,1974,2014
MCM-UA-1-0_ssp370_r1i1p1f2,MCM-UA-1-0,ssp370,r1i1p1f2,1977,2017
MIROC6_ssp370_r1i1p1f1,MIROC6,ssp370,r1i1p1f1,1997,2037
MIROC-ES2L_ssp370_r1i1p1f2,MIROC-ES2L,ssp370,r1i1p1f2,1994,2034
MPI-ESM1-2-HR_ssp370_r1i1p1f1,MPI-ESM1-2-HR,ssp370,r1i1p1f1,1985,2025
MPI-ESM1-2-LR_ssp370_r1i1p1f1,MPI-ESM1-2-LR,ssp370,r1i1p1f1,1984,2024
MRI-ESM2-0_ssp370_r1i1p1f1,MRI-ESM2-0,ssp370,r1i1p1f1,1989,2029
NorESM2-LM_ssp370_r1i1p1f1,NorESM2-LM,ssp370,r1i1p1f1,2000,2040
NorESM2-MM_ssp370_r1i1p1f1,NorESM2-MM,ssp370,r1i1p1f1,2002,2042
TaiESM1_ssp370_r1i1p1f1,TaiESM1,ssp370,r1i1p1f1,1996,2036
UKESM1-0-LL_ssp370_r1i1p1f2,UKESM1-0-LL,ssp370,r1i1p1f2,1988,2028
